iter	Passed	Remaining
0	22	22586
1	42	21212
2	66	22171
3	87	21778
4	108	21579
5	130	21673
6	157	22394
7	182	22596
8	206	22752
9	236	23431
10	267	24077
11	317	26103
12	402	30542
13	465	32809
14	522	34322
15	567	34895
16	608	35168
17	635	34654
18	662	34184
19	690	33843
20	716	33391
21	744	33087
22	770	32722
23	800	32549
24	826	32240
25	854	31994
26	880	31732
27	908	31544
28	938	31408
29	967	31290
30	1000	31281
31	1027	31069
32	1055	30928
33	1082	30744
34	1111	30633
35	1139	30523
36	1175	30597
37	1215	30775
38	1247	30731
39	1276	30645
40	1309	30629
41	1343	30637
42	1376	30627
43	1410	30635
44	1443	30643
45	1476	30614
46	1546	31350
47	1631	32355
48	1687	32754
49	1758	33405
50	1810	33681
51	1870	34098
52	1928	34449
53	1985	34784
54	2026	34818
55	2070	34897
56	2113	34971
57	2163	35137
58	2225	35497
59	2296	35983
60	2337	35976
61	2372	35896
62	2410	35855
63	2451	35849
64	2508	36082
65	2554	36153
66	2599	36192
67	2638	36164
68	2675	36104
69	2722	36165
70	2753	36021
71	2785	35901
72	2820	35814
73	2854	35725
74	2891	35661
75	2926	35574
76	2955	35424
77	2984	35274
78	3010	35100
79	3042	34983
80	3069	34822
81	3098	34685
82	3129	34575
83	3157	34433
84	3184	34275
85	3213	34153
86	3245	34055
87	3274	33939
88	3314	33928
89	3347	33844
90	3384	33807
91	3420	33759
92	3457	33721
93	3505	33783
94	3563	33942
95	3599	33897
96	3633	33821
97	3672	33806
98	3710	33768
99	3742	33684
100	3771	33572
101	3801	33468
102	3831	33366
103	3861	33269
104	3896	33213
105	3923	33088
106	3952	32988
107	3979	32864
108	4005	32744
109	4030	32607
110	4066	32569
111	4100	32507
112	4131	32431
113	4164	32367
114	4193	32272
115	4220	32159
116	4246	32049
117	4306	32192
118	4343	32153
119	4381	32133
120	4417	32093
121	4464	32128
122	4502	32099
123	4539	32068
124	4565	31957
125	4595	31880
126	4625	31798
127	4651	31687
128	4683	31621
129	4714	31552
130	4744	31470
131	4776	31408
132	4807	31340
133	4836	31254
134	4864	31166
135	4894	31096
136	4924	31021
137	4953	30941
138	4980	30849
139	5015	30808
140	5053	30785
141	5079	30693
142	5106	30603
143	5133	30516
144	5157	30411
145	5185	30331
146	5214	30255
147	5249	30217
148	5297	30254
149	5328	30192
150	5356	30117
151	5384	30039
152	5408	29939
153	5437	29870
154	5463	29782
155	5487	29688
156	5519	29634
157	5557	29617
158	5588	29559
159	5617	29493
160	5643	29408
161	5669	29329
162	5702	29283
163	5731	29218
164	5757	29134
165	5785	29066
166	5811	28986
167	5836	28906
168	5859	28811
169	5886	28741
170	5912	28663
171	5939	28592
172	5965	28515
173	5989	28432
174	6012	28344
175	6041	28285
176	6069	28220
177	6113	28234
178	6148	28198
179	6174	28127
180	6200	28056
181	6223	27972
182	6252	27915
183	6282	27862
184	6327	27873
185	6362	27844
186	6398	27817
187	6427	27759
188	6450	27681
189	6478	27617
190	6502	27541
191	6530	27484
192	6556	27413
193	6581	27344
194	6610	27291
195	6636	27223
196	6664	27163
197	6691	27104
198	6719	27048
199	6762	27048
200	6794	27010
201	6828	26976
202	6867	26961
203	6908	26956
204	6964	27010
205	7007	27009
206	7049	27005
207	7084	26973
208	7117	26939
209	7153	26911
210	7192	26893
211	7224	26854
212	7262	26833
213	7306	26834
214	7342	26807
215	7384	26802
216	7419	26772
217	7452	26731
218	7489	26708
219	7520	26663
220	7551	26619
221	7590	26601
222	7631	26591
223	7665	26556
224	7703	26533
225	7735	26493
226	7772	26467
227	7810	26445
228	7843	26408
229	7876	26369
230	7916	26354
231	7947	26308
232	7979	26268
233	8019	26252
234	8056	26225
235	8089	26188
236	8123	26153
237	8159	26123
238	8188	26074
239	8222	26036
240	8258	26008
241	8307	26022
242	8345	25997
243	8380	25964
244	8416	25935
245	8455	25916
246	8489	25880
247	8523	25844
248	8562	25825
249	8595	25787
250	8627	25745
251	8665	25721
252	8699	25687
253	8734	25652
254	8769	25620
255	8814	25617
256	8871	25646
257	8925	25670
258	8994	25732
259	9045	25745
260	9088	25734
261	9130	25718
262	9164	25680
263	9200	25650
264	9237	25622
265	9275	25595
266	9313	25568
267	9345	25524
268	9389	25515
269	9429	25495
270	9468	25471
271	9503	25434
272	9537	25399
273	9569	25355
274	9620	25364
275	9658	25334
276	9699	25317
277	9743	25305
278	9794	25310
279	9833	25285
280	9870	25256
281	9908	25227
282	9946	25200
283	9978	25157
284	10040	25190
285	10076	25155
286	10110	25118
287	10145	25080
288	10180	25045
289	10213	25004
290	10248	24969
291	10287	24943
292	10322	24907
293	10361	24880
294	10398	24851
295	10433	24814
296	10472	24787
297	10506	24750
298	10542	24717
299	10581	24691
300	10620	24664
301	10658	24633
302	10690	24590
303	10725	24555
304	10769	24539
305	10806	24508
306	10838	24465
307	10874	24432
308	10909	24396
309	10941	24352
310	10980	24327
311	11021	24303
312	11061	24278
313	11095	24239
314	11129	24202
315	11167	24172
316	11206	24145
317	11247	24122
318	11283	24088
319	11322	24060
320	11356	24022
321	11410	24026
322	11443	23985
323	11495	23984
324	11651	24200
325	11706	24203
326	11755	24193
327	11788	24151
328	11818	24104
329	11852	24063
330	11884	24020
331	11920	23985
332	11952	23940
333	11983	23895
334	12018	23856
335	12052	23818
336	12084	23773
337	12115	23729
338	12142	23676
339	12173	23630
340	12202	23582
341	12229	23530
342	12258	23481
343	12290	23436
344	12317	23385
345	12345	23335
346	12371	23280
347	12406	23244
348	12440	23204
349	12499	23213
350	12544	23195
351	12639	23267
352	12781	23426
353	12924	23585
354	13006	23631
355	13100	23698
356	13160	23702
357	13210	23690
358	13240	23640
359	13270	23592
360	13304	23549
361	13337	23506
362	13369	23461
363	13400	23413
364	13442	23386
365	13476	23345
366	13511	23303
367	13542	23257
368	13575	23214
369	13613	23179
370	13650	23143
371	13684	23102
372	13746	23107
373	13818	23128
374	13896	23160
375	13962	23171
376	14014	23159
377	14085	23178
378	14153	23191
379	14191	23155
380	14249	23150
381	14296	23128
382	14361	23136
383	14419	23130
384	14473	23120
385	14564	23167
386	14620	23158
387	14657	23119
388	14695	23081
389	14739	23054
390	14795	23044
391	14881	23081
392	14936	23070
393	15009	23085
394	15088	23110
395	15139	23091
396	15197	23083
397	15269	23096
398	15321	23078
399	15375	23062
400	15444	23070
401	15510	23072
402	15560	23051
403	15614	23035
404	15663	23011
405	15711	22987
406	15769	22976
407	15824	22960
408	15886	22955
409	15941	22940
410	15995	22922
411	16043	22897
412	16094	22874
413	16139	22845
414	16210	22851
415	16262	22830
416	16314	22809
417	16361	22780
418	16421	22770
419	16491	22774
420	16559	22774
421	16654	22810
422	16740	22834
423	16822	22853
424	16890	22851
425	16948	22836
426	17025	22847
427	17098	22851
428	17179	22866
429	17250	22867
430	17318	22863
431	17371	22840
432	17426	22819
433	17486	22805
434	17551	22796
435	17606	22775
436	17671	22766
437	17754	22781
438	17823	22776
439	17882	22758
440	17956	22761
441	18036	22770
442	18094	22751
443	18151	22730
444	18212	22714
445	18275	22700
446	18330	22677
447	18385	22653
448	18451	22643
449	18539	22659
450	18619	22665
451	18715	22689
452	18767	22661
453	18831	22647
454	18893	22630
455	18953	22611
456	19015	22593
457	19069	22566
458	19122	22539
459	19181	22517
460	19243	22499
461	19301	22476
462	19367	22462
463	19428	22443
464	19495	22429
465	19543	22395
466	19596	22365
467	19645	22331
468	19709	22315
469	19772	22296
470	19824	22265
471	19887	22247
472	19939	22215
473	20018	22215
474	20073	22186
475	20127	22156
476	20185	22132
477	20243	22107
478	20298	22078
479	20351	22047
480	20496	22115
481	20555	22090
482	20610	22061
483	20680	22047
484	20766	22050
485	20828	22028
486	20884	21999
487	20938	21968
488	20999	21944
489	21050	21909
490	21102	21876
491	21155	21843
492	21192	21794
493	21240	21756
494	21290	21720
495	21336	21680
496	21383	21641
497	21428	21600
498	21477	21563
499	21529	21529
500	21581	21495
501	21633	21460
502	21700	21441
503	21767	21422
504	21823	21391
505	21881	21362
506	21931	21326
507	21988	21295
508	22035	21256
509	22107	21240
510	22156	21202
511	22219	21177
512	22266	21137
513	22318	21103
514	22367	21064
515	22440	21049
516	22491	21012
517	22544	20977
518	22594	20939
519	22642	20900
520	22691	20862
521	22745	20828
522	22797	20791
523	22843	20750
524	22895	20715
525	22937	20669
526	22989	20633
527	23038	20595
528	23087	20556
529	23155	20534
530	23207	20497
531	23257	20459
532	23317	20429
533	23365	20389
534	23418	20354
535	23471	20318
536	23517	20276
537	23556	20228
538	23606	20190
539	23665	20159
540	23720	20125
541	23772	20088
542	23821	20048
543	23876	20014
544	23930	19978
545	23974	19935
546	24030	19900
547	24089	19869
548	24145	19835
549	24185	19788
550	24250	19761
551	24308	19728
552	24364	19694
553	24410	19651
554	24465	19616
555	24518	19579
556	24568	19539
557	24615	19498
558	24664	19457
559	24716	19420
560	24762	19377
561	24812	19337
562	24863	19298
563	24914	19260
564	24955	19213
565	24998	19168
566	25044	19125
567	25097	19087
568	25144	19046
569	25201	19011
570	25249	18970
571	25300	18930
572	25349	18890
573	25397	18849
574	25455	18815
575	25504	18773
576	25568	18744
577	25633	18715
578	25688	18678
579	25742	18641
580	25788	18598
581	25838	18557
582	25890	18518
583	25938	18476
584	26001	18445
585	26048	18403
586	26103	18366
587	26158	18328
588	26213	18291
589	26262	18250
590	26313	18210
591	26368	18172
592	26422	18134
593	26474	18095
594	26528	18057
595	26594	18027
596	26645	17987
597	26699	17948
598	26750	17908
599	26827	17884
600	26880	17845
601	26923	17800
602	26975	17760
603	27022	17716
604	27071	17674
605	27122	17633
606	27168	17590
607	27230	17556
608	27272	17510
609	27329	17472
610	27376	17429
611	27432	17392
612	27482	17350
613	27540	17313
614	27585	17269
615	27635	17227
616	27683	17184
617	27739	17146
618	27792	17106
619	27846	17067
620	27893	17023
621	27937	16978
622	27987	16936
623	28029	16889
624	28095	16857
625	28140	16812
626	28190	16770
627	28243	16730
628	28301	16693
629	28355	16653
630	28407	16612
631	28452	16567
632	28511	16530
633	28567	16491
634	28618	16449
635	28665	16405
636	28715	16363
637	28766	16321
638	28812	16277
639	28858	16233
640	28913	16193
641	28961	16149
642	29012	16107
643	29065	16067
644	29109	16021
645	29162	15980
646	29214	15939
647	29266	15897
648	29314	15854
649	29359	15808
650	29410	15767
651	29462	15725
652	29505	15678
653	29562	15639
654	29613	15597
655	29666	15556
656	29727	15519
657	29784	15480
658	29833	15437
659	29881	15393
660	29933	15351
661	29998	15316
662	30053	15275
663	30102	15232
664	30155	15191
665	30206	15148
666	30255	15105
667	30305	15061
668	30365	15023
669	30422	14984
670	30486	14947
671	30537	14905
672	30586	14861
673	30633	14816
674	30686	14774
675	30737	14732
